SiteCode,SiteName,Latitude,Longitude,IGBPCode
DK-Gds,Gludsted Plantage,56.0737,9.3341,ENF
DK-Lva,Rimi,55.68330002,12.08329964,GRA
DK-MkA,Morke E-AR,56.38131,10.39461,CRO
DK-MkG,Morke E-PG,56.38178,10.40312,GRA
DK-MkR,Morke E-RG,56.38179,10.4006,CRO
DK-RCT,Risø Campus Tower,55.694101,12.088284,URB
DK-RCW,Risø Campus Willow,55.680682,12.101398,DBF
DK-Ris,Risbyholm,55.53027778,12.09722222,CRO
DK-SkA,Skjern W-AR,55.93777,8.44656,CRO
DK-SkG,Skjern W-PG,55.94116,8.447355,GRA
DK-Skj,Skjern,55.91273,8.40481,WET
DK-Sor,Soroe,55.4858694,11.6446444,DBF
DK-SVA,Store Vildmose N-AR,57.23313,9.84435,CRO
DK-SVG,Store Vildmose N-PG,57.22988,9.83291,GRA
DK-SVR,Store Vildmose N-RG,57.23312,9.84462,CRO
DK-Ulb,Ulborg,56.29102778,8.428027778,ENF
DK-Vng,Voulundgaard,56.0374765,9.16070962,CRO
EE-Aar,Aardlapalu grassland,58.31305,26.74388,GRA
EE-Aga,Agali Forest Station,58.287472,27.283525,DBF
EE-Hi1,Hiiesoo abandoned peat extraction,59.3505,27.1008,BSV
EE-Hi2,Hiiesoo active peat extraction,59.3519,27.1016,BSV
EE-Jvs,Järvselja,58.274211,27.309952,MF
EE-Ka1,Kasesoo abandoned peat extraction,59.1411,27.6531,BSV
EE-Ka2,Kasesoo active peat extraction,59.1459,27.6636,BSV
EE-Ka3,Kasesoo bog,59.1417,27.6778,WET
EE-Ku1,Kuresoo bog wooded,58.4736,25.2125,WET
EE-Ku2,Kuresoo bog,58.4744,25.2008,WET
EE-Lv1,Lavassaare abandoned peat extraction,58.5727,24.3819,BSV
EE-Lv2,Lavassaare drained fen,58.5719,24.3908,GRA
EE-Lv3,Lavassaare grass cultivation,58.573,24.3858,WET
EE-Mam,Maima bog,58.5791,24.4266,WET
EE-Pdv,Pudivere grassland,59.0866,26.3744,GRA
EE-Ph1,Puhatu abandoned peat extraction,59.2658,27.6316,BSV
EE-Ph2,Puhatu active peat extraction,59.2659,27.6314,BSV
EE-Pts,Pitsalu,58.56331611,24.36888762,WET
EE-Rok,Roka,58.245336,27.299731,DBF
EE-San,Sangla bog forest,58.32704,26.21819,DBF
EE-Stg,Soontaga Forest Station,58.023561,26.07074,ENF
EE-Vg1,Valgeraba bog forest,58.43507,25.23629,DBF
EE-Vg2,Valgeraba bog,58.43662,25.23675,WET
ES-Abr,Albuera,38.701839,-6.785881,SAV
ES-Agu,Aguamarga,36.940046,-2.033208,OSH
ES-Amo,Amoladeras,36.833608,-2.252318,OSH
ES-AP1,Almodóvar del Pinar 1,39.680985,-1.842411111,ENF
ES-AP2,Almodóvar del Pinar 2,39.67726984,-1.84830946,ENF
ES-CMb,Cuenca Las Majadas burned,40.25830581,-1.968060873,ENF
ES-CMu,Cuenca Las Majadas unburned,40.25206923,-1.964783374,ENF
ES-Cnd,Conde,37.914998,-3.227659,WSA
ES-CPa,Cortes de Pallas,39.22417,-0.90305,OSH
ES-Cst,Castellar,42.305014,2.033568,GRA
ES-Dnn,Doñana,36.995549,-6.513203,WSA
ES-EBn,El Bonillo,38.93706599,-2.64402303,WSA
ES-ES1,El Saler (Valencia),39.34481,-0.31999,ENF
ES-ES2,El Saler-Sueca (Valencia),39.27438,-0.31641,CRO
ES-FcO,Finca Oran,38.823638,-1.85977,CRO
ES-FtD,FuenteDuque,36.99818,-6.434566,WET
ES-Gdn,Guadiana,37.910917,-3.228444,EBF
ES-LBr,La Bertolina,42.098889,1.661389,GRA
ES-LgS,Laguna Seca,37.097936,-2.965833,OSH
ES-LJu,Llano de los Juanes,36.926594,-2.752115,OSH
ES-LM1,Majadas del Tietar North,39.94269,-5.778683,SAV
ES-LM2,Majadas del Tietar South,39.934592,-5.775881,SAV
ES-LMa,Las Majadas de Tietar (Caceres),39.94033,-5.77465,SAV
ES-Ln1,Lanjaron-Non intervention,36.972098,-3.473851,OSH
ES-Ln2,Lanjaron-Salvage logging,36.969502,-3.475819,OSH
ES-LTs,Las Tiesas Experimental Farm,39.042395,-2.089033,CRO
ES-Mcd,Moncada,39.58819,-0.39969,EBF
ES-MtN,MonteNegro,36.991805,-6.482628,CSH
ES-Mzn,Manzanera,40.089496,-0.827409,EBF
ES-Pdu,Padul,37.016975,-3.609228,WET
ES-PRt,Pla de Riart,42.063333,1.513333,GRA
ES-QdM,Quintos de Mora,39.42690514,-4.117171204,CSH
ES-SCf,Santa Clotilde forest,38.210142,-4.287495,SAV
ES-SCg,Santa Clotilde grassland,38.210163,-4.289965,SAV
ES-Srn,Sarrion,40.15,-0.838,EBF
ES-Tol,Toledo,39.86004722,-4.030063889,MF
ES-TzM,Tarazona de la Mancha,39.26597,-1.939726,CRO
ES-VDA,Vall d' Alinyà (Lleida),42.15111,1.44738,GRA
ES-Yst,Yeste,38.33893358,-2.350605236,ENF
ES-Zam,Zambrana,42.9325,-2.853055556,CRO
FI-Alk,Alkkia,62.183367,22.784233,ENF
FI-Ant,Anttila,63.16358,27.2347,CRO
FI-Hy2,Hyytiala Clear Cut,61.84385,24.30433333,BSV
FI-Hyy,Hyytiala,61.84741,24.29477,ENF
FI-Jo2,Jokioinen2,60.89903,23.5128,CRO
FI-Jo3,Jokioinen3,60.8988,23.5131,CRO
FI-Jok,Jokioinen,60.8986,23.51345,CRO
FI-Kaa,Kaamanen,69.14057,27.26985,WET
FI-Ken,Kenttarova,67.98721472,24.24301028,ENF
FI-Kmp,Kumpula,60.20289,24.9611,URB
FI-Kns,Kalevansuo,60.64683333,24.356167,ENF
FI-Kvr,Kuivajarvi,61.84662,24.2804,WAT
FI-Let,Lettosuo,60.64183,23.95952,ENF
FI-Lom,Lompolojankka,67.997239,24.209178,WET
FI-Ouk,Oulanka,66.37751734,29.30768069,WET
FI-Pap,Pappilansuo,63.13819,27.24574,CRO
FI-Qvd,Qvidja,60.295242,22.391607,CRO
FI-Sar,Särkisuo,63.15158,27.23739,CRO
FI-Si2,Siikaneva-2 Bog,61.8372,24.1967,WET
FI-Sii,Siikaneva,61.83265,24.19285,WET
FI-Skj,Siikajoki,64.7807,24.6515,WET
FI-Sod,Sodankyla,67.36238641,26.63859066,ENF
FI-Tvm,Tvärminne,59.841801,23.250271,WAT
FI-Var,Varrio,67.7549,29.61,ENF
FI-Ves,Vesijako,61.3716,25.1055,ENF
FR-Aur,Aurade,43.549649,1.106103,CRO
FR-Avi,Avignon,43.91608333,4.878055556,CRO
FR-Bil,Bilos,44.493653,-0.956092,ENF
FR-CLt,Col du Lautaret,45.0414,6.41053,GRA
FR-Cou,Couhins,44.75555556,-0.555555556,CRO
FR-EM1,Estrées-Mons A27,49.8721083,3.02065,CRO
FR-EM2,Estrees-Mons A28,49.8721083,3.02065,CRO
FR-FBn,Font-Blanche,43.24079,5.67865,MF
FR-Fgs,Fougères,48.38,-1.18,DBF
FR-Fon,Fontainebleau-Barbeau,48.476358,2.780096,DBF
FR-Gri,Grignon,48.84422,1.95191,CRO
FR-Hes,Hesse,48.6741,7.06465,DBF
FR-Lam,Lamasquere,43.496438,1.237878,CRO
FR-LBr,Le Bray,44.71711,-0.7693,ENF
FR-LGt,La Guette,47.322917,2.284102,WET
FR-Lq1,Laqueuille intensive,45.64305556,2.735833333,GRA
FR-Lq2,Laqueuille extensive,45.63919444,2.737027778,GRA
FR-Lus,Lusignan,46.4142461,0.1206518,GRA
FR-Mau,Mauzac,43.38527778,1.292222222,GRA
FR-Mej,Mejusseaume,48.1184,-1.79635,GRA
FR-MsS,Montiers sur Saulx,48.53816,5.31187,DBF
FR-Nzn,Naizin,48.005812,-2.81721,GRA
FR-OnV,Osne-le-Val,48.50846,5.213463,GRA
FR-Pue,Puechabon,43.7413,3.5957,EBF
FR-Tou,Toulouse,43.572855,1.37474,GRA
GF-Cpg,Carpagg,5.3531,-53.004,GRA
GF-Guy,Guyaflux (French Guiana),5.2787,-52.9248,EBF
GF-Nrg,Nouragues European Tropical Research Station,4.087768,-52.086228,EBF
