SiteCode,SiteName,Latitude,Longitude,IGBPCode
UK-PL3,Pang/Lambourne forest,51.45,-1.266666667,DBF
UK-Png,Penglais_EC1,52.422332,-4.068402,CRO
UK-Po1,Pollybell GGR1,53.45704,-0.9139667,GRA
UK-Po2,Pollybell GGR2,53.45905,-0.9082767,GRA
UK-Po3,Pollybell GGR3,53.45659,-0.910275,GRA
UK-Pob,Pollybell,53.430831,-0.922198,CRO
UK-Rdm,Redmere 2,52.442948,0.419533,CRO
UK-Rsh,Riseholme,53.25981,-0.5257917,CRO
UK-Stm,Stretham,52.331415,0.224473,CRO
UK-Swt,Sawtry,52.435915,-0.259556,CRO
UK-Tad,Tadham Moor,51.20709991,-2.828639984,GRA
UK-WdC,Waddesdon Control,51.82715,-0.948449,CRO
UK-Wdd,Waddesdon,51.830757,-0.950881,CRO
UK-Wot,Woodwalton,52.459926,-0.184811,GRA
UK-WsL,West Lochhills,57.582244,-1.9821112,GRA
ZA-Kru,Skukuza,-25.0197,31.4969,SAV
ZA-Map,Malopeni,-23.83254,31.21436,SAV
ZA-Wgn,Welgegund,-26.56944444,26.93916667,GRA
ZM-Mon,Mongu,-15.4391,23.2525,DBF
